frequency_Hz,S11_real,S11_imag,S12_real,S12_imag,S21_real,S21_imag,S22_real,S22_imag
1499684.835502374,-5.771293277075108e-08,-0.00023556994987251198,0.9999999422870671,-0.00023556994987251195,0.9999999422870671,-0.00023556994987251195,-5.771293277075108e-08,-0.00023556994987251198
1513561.2484362072,-5.878589646863999e-08,-0.0002377496519089282,0.9999999412141035,-0.00023774965190892817,0.9999999412141035,-0.00023774965190892817,-5.878589646863999e-08,-0.0002377496519089282
1527566.0582380733,-5.98788079925221e-08,-0.00023994952248353147,0.9999999401211921,-0.0002399495224835315,0.9999999401211921,-0.0002399495224835315,-5.98788079925221e-08,-0.00023994952248353147
1541700.4529495584,-6.099203831508366e-08,-0.00024216974821360666,0.9999999390079617,-0.00024216974821360666,0.9999999390079617,-0.00024216974821360666,-6.099203825957252e-08,-0.00024216974821360666
1555965.631605075,-6.21259650941312e-08,-0.0002444105174431921,0.9999999378740351,-0.00024441051744319216,0.9999999378740351,-0.00024441051744319216,-6.212596503862005e-08,-0.00024441051744319216
1570362.8043335516,-6.328097318442109e-08,-0.00024667202025905287,0.9999999367190269,-0.00024667202025905287,0.9999999367190269,-0.00024667202025905287,-6.328097318442109e-08,-0.00024667202025905287
1584893.1924611141,-6.44574544301403e-08,-0.0002489544485068101,0.9999999355425456,-0.00024895444850681016,0.9999999355425456,-0.00024895444850681016,-6.44574544301403e-08,-0.0002489544485068101
1599558.028614668,-6.565580818136166e-08,-0.0002512579958072118,0.9999999343441918,-0.0002512579958072118,0.9999999343441918,-0.0002512579958072118,-6.565580818136166e-08,-0.0002512579958072118
1614358.556826487,-6.687644092470244e-08,-0.00025358285757256176,0.9999999331235592,-0.00025358285757256176,0.9999999331235592,-0.00025358285757256176,-6.68764409802136e-08,-0.00025358285757256176
1629296.0326397214,-6.811976697111228e-08,-0.00025592923102329263,0.9999999318802328,-0.0002559292310232926,0.9999999318802328,-0.0002559292310232926,-6.811976697111228e-08,-0.00025592923102329263
1644371.7232149323,-6.938620814693131e-08,-0.0002582973152047007,0.999999930613792,-0.00025829731520470077,0.999999930613792,-0.00025829731520470077,-6.938620814693131e-08,-0.0002582973152047007
1659586.9074375597,-7.067619426461265e-08,-0.0002606873110038269,0.9999999293238057,-0.0002606873110038269,0.9999999293238057,-0.0002606873110038269,-7.067619426461265e-08,-0.0002606873110038269
1674942.876026438,-7.199016304089725e-08,-0.000263099421166503,0.999999928009837,-0.000263099421166503,0.999999928009837,-0.000263099421166503,-7.199016298538611e-08,-0.000263099421166503
1690440.9316432632,-7.332856029514638e-08,-0.0002655338503145462,0.9999999266714399,-0.0002655338503145462,0.9999999266714399,-0.0002655338503145462,-7.332856023963523e-08,-0.0002655338503145462
1706082.3890031243,-7.469184020584533e-08,-0.00026799080496312124,0.9999999253081597,-0.0002679908049631212,0.9999999253081597,-0.0002679908049631212,-7.469184026135648e-08,-0.0002679908049631212
1721868.5749860061,-7.608046540327418e-08,-0.0002704704935382568,0.9999999239195345,-0.0002704704935382568,0.9999999239195345,-0.0002704704935382568,-7.608046540327418e-08,-0.0002704704935382568
1737800.8287493763,-7.749490706493744e-08,-0.0002729731263945293,0.9999999225050928,-0.0002729731263945293,0.9999999225050928,-0.0002729731263945293,-7.749490706493744e-08,-0.0002729731263945293
1753880.5018417602,-7.893564523584015e-08,-0.00027549891583290414,0.9999999210643549,-0.00027549891583290414,0.9999999210643549,-0.00027549891583290414,-7.893564518032901e-08,-0.00027549891583290414
1770108.958317422,-8.040316865202677e-08,-0.00027804807611874936,0.9999999195968312,-0.0002780480761187493,0.9999999195968312,-0.0002780480761187493,-8.04031687075379e-08,-0.0002780480761187493
1786487.5748520498,-8.189797539969404e-08,-0.00028062082350000856,0.9999999181020245,-0.0002806208235000085,0.9999999181020245,-0.0002806208235000085,-8.189797545520519e-08,-0.00028062082350000856
1803017.74085957,-8.342057274460678e-08,-0.0002832173762255493,0.9999999165794274,-0.00028321737622554935,0.9999999165794274,-0.00028321737622554935,-8.342057268909565e-08,-0.0002832173762255493
1819700.8586099825,-8.497147724208519e-08,-0.0002858379545636729,0.9999999150285227,-0.0002858379545636729,0.9999999150285227,-0.0002858379545636729,-8.497147718657404e-08,-0.0002858379545636729
1836538.3433483473,-8.655121523865305e-08,-0.00028848278082080575,0.9999999134487848,-0.00028848278082080575,0.9999999134487848,-0.00028848278082080575,-8.65512151831419e-08,-0.00028848278082080575
1853531.6234148105,-8.816032271067972e-08,-0.00029115207936035204,0.9999999118396774,-0.00029115207936035204,0.9999999118396774,-0.00029115207936035204,-8.816032276619087e-08,-0.00029115207936035204
1870682.1403658015,-8.979934582786597e-08,-0.0002938460766217325,0.9999999102006544,-0.00029384607662173256,0.9999999102006544,-0.00029384607662173256,-8.979934582786597e-08,-0.0002938460766217325
1887991.3490962926,-9.14688405762857e-08,-0.0002965650011395887,0.9999999085311594,-0.00029656500113958874,0.9999999085311594,-0.00029656500113958874,-9.14688405762857e-08,-0.0002965650011395887
1905460.7179632483,-9.31693736059913e-08,-0.0002993090835631746,0.9999999068306265,-0.0002993090835631746,0.9999999068306265,-0.0002993090835631746,-9.31693736059913e-08,-0.0002993090835631746
1923091.7289101575,-9.490152197176384e-08,-0.00030207855667591826,0.9999999050984779,-0.00030207855667591826,0.9999999050984779,-0.00030207855667591826,-9.490152197176384e-08,-0.00030207855667591826
1940885.8775927792,-9.666587332139474e-08,-0.00030487365541517455,0.9999999033341269,-0.0003048736554151746,0.9999999033341269,-0.0003048736554151746,-9.666587326588359e-08,-0.00030487365541517455
1958844.673505989,-9.846302642052869e-08,-0.00030769461689214925,0.9999999015369733,-0.0003076946168921492,0.9999999015369733,-0.0003076946168921492,-9.846302647603984e-08,-0.0003076946168921492
1976969.640111862,-1.0029359112596723e-07,-0.0003105416804120202,0.9999998997064087,-0.00031054168041202014,0.9999998997064087,-0.00031054168041202014,-1.0029359118147837e-07,-0.0003105416804120202
1995262.3149688789,-1.0215818858464144e-07,-0.00031341508749423163,0.9999998978418114,-0.00031341508749423163,0.9999998978418114,-0.00031341508749423163,-1.0215818864015258e-07,-0.00031341508749423163
2013724.2498623894,-1.0405745154731334e-07,-0.0003163150818929883,0.9999998959425485,-0.0003163150818929883,0.9999998959425485,-0.0003163150818929883,-1.0405745154731334e-07,-0.0003163150818929883
2032357.0109362209,-1.0599202440848309e-07,-0.0003192419096179288,0.9999998940079756,-0.0003192419096179288,0.9999998940079756,-0.0003192419096179288,-1.0599202446399423e-07,-0.0003192419096179288
2051162.1788255668,-1.0796256369422952e-07,-0.00032219581895499963,0.9999998920374361,-0.0003221958189549996,0.9999998920374361,-0.0003221958189549996,-1.0796256369422952e-07,-0.00032219581895499963
2070141.3487910414,-1.0996973805435365e-07,-0.0003251770604875131,0.9999998900302619,-0.0003251770604875131,0.9999998900302619,-0.0003251770604875131,-1.0996973805435365e-07,-0.0003251770604875131
2089296.1308540408,-1.120142285915775e-07,-0.0003281858871174093,0.9999998879857716,-0.0003281858871174093,0.9999998879857716,-0.0003281858871174093,-1.1201422864708864e-07,-0.00032818588711740925
2108628.149933289,-1.1409672908377066e-07,-0.00033122255408670577,0.9999998859032707,-0.00033122255408670577,0.9999998859032707,-0.00033122255408670577,-1.1409672908377066e-07,-0.00033122255408670577
2128139.0459827133,-1.1621794615480364e-07,-0.0003342873189991556,0.9999998837820538,-0.0003342873189991556,0.9999998837820538,-0.0003342873189991556,-1.1621794615480364e-07,-0.0003342873189991556
2147830.474130533,-1.1837859961613583e-07,-0.0003373804418420939,0.9999998816214002,-0.0003373804418420939,0.9999998816214002,-0.0003373804418420939,-1.1837859961613583e-07,-0.0003373804418420939
2167704.1048196964,-1.2057942264616462e-07,-0.00034050218500849985,0.9999998794205774,-0.00034050218500849985,0.9999998794205774,-0.00034050218500849985,-1.2057942264616462e-07,-0.00034050218500849985
2187761.623949552,-1.2282116202944402e-07,-0.00034365281331924963,0.9999998771788379,-0.00034365281331924963,0.9999998771788379,-0.00034365281331924963,-1.2282116208495515e-07,-0.00034365281331924963
2208004.733018901,-1.251045785113808e-07,-0.0003468325940455879,0.9999998748954216,-0.00034683259404558794,0.9999998748954216,-0.00034683259404558794,-1.2510457845586965e-07,-0.0003468325940455879
2228435.149270303,-1.2743044687989743e-07,-0.00035004179693179474,0.9999998725695531,-0.00035004179693179474,0.9999998725695531,-0.00035004179693179474,-1.2743044687989743e-07,-0.00035004179693179474
2249054.605835783,-1.2979955638478435e-07,-0.0003532806942180751,0.9999998702004436,-0.00035328069421807504,0.9999998702004436,-0.00035328069421807504,-1.2979955644029547e-07,-0.00035328069421807504
2269864.851883821,-1.322127109396993e-07,-0.0003565495606636469,0.9999998677872889,-0.00035654956066364686,0.9999998677872889,-0.00035654956066364686,-1.3221271099521046e-07,-0.00035654956066364686
2290867.6527677746,-1.3467072943998523e-07,-0.00035984867357005576,0.9999998653292704,-0.0003598486735700557,0.9999998653292704,-0.0003598486735700557,-1.3467072943998523e-07,-0.00035984867357005576
2312064.790175594,-1.371744459188232e-07,-0.00036317831280469325,0.9999998628255539,-0.00036317831280469325,0.9999998628255539,-0.00036317831280469325,-1.3717444597433436e-07,-0.00036317831280469325
2333458.0622810046,-1.3972471004142716e-07,-0.00036653876082454466,0.99999986027529,-0.00036653876082454466,0.99999986027529,-0.00036653876082454466,-1.3972471004142716e-07,-0.00036653876082454466
2355049.283896009,-1.4232238704917873e-07,-0.0003699303027001435,0.999999857677613,-0.0003699303027001436,0.999999857677613,-0.0003699303027001436,-1.4232238704917873e-07,-0.0003699303027001435
2376840.286624878,-1.4496835859710297e-07,-0.000373353226139762,0.9999998550316412,-0.000373353226139762,0.9999998550316412,-0.000373353226139762,-1.4496835854159184e-07,-0.00037335322613976207
2398832.91901949,-1.4766352243085086e-07,-0.0003768078215138118,0.9999998523364775,-0.0003768078215138118,0.9999998523364775,-0.0003768078215138118,-1.476635223753397e-07,-0.00037680782151381184
2421029.04673618,-1.504087930682371e-07,-0.00038029438187948175,0.9999998495912068,-0.00038029438187948175,0.9999998495912068,-0.00038029438187948175,-1.5040879312374826e-07,-0.00038029438187948175
2443430.5526939714,-1.5320510220866148e-07,-0.00038381320300559356,0.999999846794898,-0.0003838132030055936,0.999999846794898,-0.0003838132030055936,-1.5320510215315033e-07,-0.00038381320300559356
2466039.337234341,-1.560533985929745e-07,-0.0003873645833976982,0.9999998439466012,-0.00038736458339769817,0.9999998439466012,-0.00038736458339769817,-1.560533985929745e-07,-0.0003873645833976982
