frequency_Hz,S11_real,S11_imag,S12_real,S12_imag,S21_real,S21_imag,S22_real,S22_imag
1380384.2646028837,-0.046065811641299206,-0.0010352693487606624,0.9546009139433274,-0.002288174464836103,0.9537534849223412,-0.007088429931910457,-0.04823871843168238,0.003862223522619109
1393156.8029453035,-0.050194476954148255,-0.0014507252056790059,0.9562207295848567,-0.0031572459653866087,0.9536046431834583,-0.004544956298721347,-0.05118457017908825,0.0021020888262725367
1406047.524129913,-0.04829733502467521,-0.005145495145149586,0.9462790224991229,-0.00013202769680886468,0.9525043685213147,-0.002643754759869283,-0.048313758427996616,-0.0024399520652799113
1419057.5216890925,-0.049630070038644676,-0.004469002437065128,0.9579266649519113,-0.002777662092475289,0.9483340248692015,-0.000575700708375475,-0.04514706038151282,0.00021704871357199746
1432187.8992735425,-0.039965964364330975,-0.003361730042042208,0.956150994735416,-0.0009304267660827324,0.9522701713350653,0.002497434150844693,-0.05158868316557418,-0.006431356306873538
1445439.770745928,-0.052386667894969985,-0.0006397619736808191,0.9509401187907243,-0.003945564375016917,0.9499760471543769,-0.004302215168517171,-0.050137864458277906,0.0002957197293840413
1458814.2602753474,-0.04876155485703978,-0.0025319173251542792,0.9520226774120095,-0.004882348126640671,0.9540787840538679,0.004011453987427136,-0.051951744531008974,0.0025967761153435813
1472312.5024327193,-0.0500073186744965,-0.007392377545876049,0.9518216823220903,-0.005789805146626194,0.9516963364349876,0.0014477930509964295,-0.04119198241208385,-0.0016263651142500999
1485935.642287006,-0.04680661008039962,0.0046168816583009855,0.9467329625032089,0.0015220477979521704,0.9538441616106206,0.00041299973654762817,-0.045709650125329196,-0.004211649018330396
1499684.835502374,-0.04805742916508932,0.0010790346582834228,0.9481336305733351,-0.005106180215368862,0.9585337103673645,0.0039273494931930135,-0.05136407476376714,0.0008364786878216188
1513561.2484362072,-0.04530678640215851,-0.0035338445462007183,0.9530806877271094,0.0021694334709139573,0.9544833477969898,0.007198399584428029,-0.041645486390028574,-0.0014085973768822222
1527566.0582380733,-0.04565376128031861,0.0012735226024170921,0.9504251778725352,-0.0021643261804209376,0.9562514756301355,-0.0003541907998382235,-0.04982834540796665,-0.005928244521612498
1541700.4529495584,-0.04704705265372838,-0.0006608182806683211,0.9478547016783329,-0.0005064443289906533,0.9487640100107095,0.005637527235558826,-0.047439652347085165,-0.006941475877859518
1555965.631605075,-0.04633121072981708,-0.0016481544126066257,0.9464221186107311,0.0038433479566792263,0.954120991578152,-0.001511262541025045,-0.05048751562794417,-0.00126475767117689
1570362.8043335516,-0.04314061482956797,-0.0035876226328209553,0.9511486016146973,-0.003935334876652998,0.948447799172158,-0.007061704226149378,-0.04735420693155961,-0.0028734694124878855
1584893.1924611141,-0.05082635422403159,-0.004140169418323979,0.9568217762747598,-0.0002642908076317891,0.9523823240061097,-0.003434265433914607,-0.04815039990108255,-0.0023559951731013202
1599558.028614668,-0.045548237154106865,-0.002266413747377804,0.9488631432424337,-0.0008522730096922965,0.9478684214859849,-0.002533522769092937,-0.04619031019231961,-0.004399946186455956
1614358.556826487,-0.05146839736582992,-0.00038983846237602515,0.9485304145740777,0.0030461702407326794,0.955309096221474,-0.00024038933092574902,-0.0457818255028553,-0.0028243925500286366
1629296.0326397214,-0.052007962624253175,-0.0011274181134582762,0.9502134646240373,-0.007873620391878475,0.9492173803285199,-0.0011843153190166154,-0.041402441682526006,-0.002097645987447244
1644371.7232149323,-0.04444853224064354,-0.003969960704622221,0.9509074743018407,-0.0033351936847613164,0.9543971126755614,-0.0021386702069881923,-0.05236622038789857,0.0027707545144232894
1659586.9074375597,-0.04997383995460782,0.003112858628006967,0.9527474430053519,-0.0039577908961756945,0.953963229196566,-0.002522623637075235,-0.047960685364741705,-0.0024334176812333807
1674942.876026438,-0.046751541006367664,0.0021174929197419726,0.9526545893159687,-0.0002066434504728042,0.9518078907990546,-0.0003911518654398172,-0.04865609786653558,0.0011610027622907008
1690440.9316432632,-0.049111525400129995,-0.002809987599703584,0.9531921829344423,0.004051062339973877,0.9538182562164403,-0.0007286469712360288,-0.04692534126014183,-0.00371823423193702
